ID,X_COORD,Y_COORD,DEMAND,SERVICE_TIME,READY_TIME,DUE_TIME,CUSTOMER_TYPE
0,0.0,0.0,0,0.0,0.0,10.0,
1,0.7572996847916257,0.3659417292253271,7,0.05,0.22,2.45,Linehaul
2,0.4232416446507181,0.9319486396888312,8,0.07,0.34,4.72,Linehaul
3,0.05852960375998417,0.4459864770193994,9,0.08,0.27,4.11,Linehaul
4,0.3091920364732301,0.17220344428422474,6,0.02,0.23,3.32,Linehaul
5,0.6662956306220591,0.1291658437855948,-7,0.07,0.17,9.12,Backhaul
6,0.1322204570398321,0.39685762335259567,9,0.08,0.29,4.44,Linehaul
7,0.9621096529904339,0.7459421079810643,-3,0.02,0.71,5.01,Backhaul
8,0.6945304998496521,0.2227560535479367,5,0.09,0.12,8.05,Linehaul
9,0.2662488446531942,0.969450285650275,8,0.09,0.81,8.69,Linehaul
10,0.7566529724511616,0.31116761646812285,3,0.04,0.32,7.56,Linehaul
11,0.5201196056030123,0.14850546049702495,2,0.09,0.34,7.48,Linehaul
12,0.20737816627887995,0.716809265553273,3,0.07,0.34,3.16,Linehaul
13,0.599278106440251,0.37346667624831476,7,0.07,0.58,4.57,Linehaul
14,0.5816175192559303,0.9979962488609841,-7,0.02,0.62,3.15,Backhaul
15,0.779212831558953,0.8145756721984518,7,0.08,0.87,7.41,Linehaul
16,0.44939935658053765,0.2511545952209302,6,0.03,0.35,4.11,Linehaul
17,0.5271736300240614,0.3932122036938466,-8,0.05,0.14,6.42,Backhaul
18,0.7580996398951216,0.5105837533472628,-3,0.04,0.82,5.94,Backhaul
19,0.8668812327331465,0.4339055092138506,7,0.05,0.35,4.17,Linehaul
20,0.7421027717998346,0.7915340056440371,1,0.02,0.68,3.2,Linehaul
21,0.3000332783918095,0.7336344212203931,-8,0.07,0.32,7.07,Backhaul
22,0.2183592287828856,0.7366842394203352,7,0.06,0.65,4.11,Linehaul
23,0.6284123765873841,0.43413295610727964,-3,0.02,0.62,8.32,Backhaul
24,0.48215279489955576,0.8554343316813977,9,0.07,0.54,2.53,Linehaul
25,0.3220587587997118,0.30386825576380094,7,0.09,0.24,2.89,Linehaul
26,0.4948500588586142,0.4028703707932696,-7,0.02,0.49,5.18,Backhaul
27,0.9721585709874085,0.568406168034412,5,0.1,0.25,8.87,Linehaul
28,0.8237663908616798,0.011469333204856658,2,0.05,0.51,7.23,Linehaul
29,0.13209949034933144,0.07049654992798349,-9,0.07,0.03,4.84,Backhaul
30,0.4983457677195883,0.8464232793391,-7,0.04,0.54,4.76,Backhaul
31,0.5136122242876313,0.7386788806780855,-8,0.05,0.52,4.86,Backhaul
32,0.5663849263995889,0.30522075136970583,5,0.02,0.56,7.85,Linehaul
33,0.9066235104178781,0.16702487071913685,-10,0.07,0.22,2.01,Backhaul
34,0.6081494847413101,0.37723028643496004,-7,0.05,0.2,2.43,Backhaul
35,0.539122050415654,0.9343763863632493,6,0.04,0.26,3.78,Linehaul
36,0.37787205614685493,0.6614938072553321,8,0.07,0.47,5.31,Linehaul
37,0.2301087467446391,0.022714610237524413,7,0.1,0.13,7.29,Linehaul
38,0.5788251926335045,0.5492095667982385,7,0.01,0.22,3.26,Linehaul
39,0.5867608814347975,0.8690760423180206,-10,0.08,0.9,6.67,Backhaul
40,0.6196217505466485,0.5550921052011979,-3,0.06,0.74,9.09,Backhaul
41,0.7718061102765126,0.17388773476373431,-10,0.06,0.43,8.22,Backhaul
42,0.5698172948770094,0.2964327003787236,8,0.09,0.29,8.19,Linehaul
43,0.29619340947174,0.9934400946910815,4,0.07,0.59,3.58,Linehaul
44,0.30377770893988165,0.39914462348968627,-7,0.03,0.18,6.86,Backhaul
45,0.48563883233939864,0.8343456102803887,6,0.1,0.61,2.22,Linehaul
46,0.8457286584207756,0.42804960952127913,4,0.08,0.63,7.8,Linehaul
47,0.5668173556360074,0.04310217456694809,-10,0.04,0.08,5.76,Backhaul
48,0.05507364318968477,0.6112590880731732,-2,0.02,0.53,3.93,Backhaul
49,0.7362212140811077,0.10906007923180028,7,0.07,0.65,8.45,Linehaul
50,0.898895879420656,0.07505248848425217,-5,0.03,0.59,7.02,Backhaul
51,0.806632976388314,0.952977519858467,-6,0.07,0.37,5.55,Backhaul
52,0.8914788157934107,0.9873330564930876,-3,0.1,0.31,4.65,Backhaul
53,0.5727688423315012,0.3002695396460222,2,0.01,0.34,2.91,Linehaul
54,0.48052335314932715,0.8264152189776783,1,0.02,0.21,3.39,Linehaul
55,0.9951011816607923,0.979168877513367,-2,0.05,0.22,5.7,Backhaul
56,0.24603248086240115,0.11719390687691367,1,0.05,0.21,6.72,Linehaul
57,0.5258496540150113,0.036583404249216356,-10,0.05,0.24,5.8,Backhaul
58,0.26402107665067376,0.19840349238429844,10,0.06,0.23,7.71,Linehaul
59,0.8667956649696001,0.8841445267553723,-7,0.07,0.14,3.29,Backhaul
60,0.06242086252228185,0.4164890553293351,-8,0.03,0.24,8.16,Backhaul
61,0.3397743286517473,0.763403497174413,1,0.05,0.23,2.69,Linehaul
62,0.699635957119244,0.9691875931968573,10,0.05,0.88,3.71,Linehaul
