ID,X_COORD,Y_COORD,DEMAND,SERVICE_TIME,READY_TIME,DUE_TIME,CUSTOMER_TYPE
0,0.0,0.0,0,0.0,0.0,10.0,
1,0.03375471042320832,0.48910750796558466,8,0.06,0.14,4.11,Linehaul
2,0.8460850972808829,0.41140199980977443,10,0.07,0.33,7.13,Linehaul
3,0.6314153737307647,0.290943237266134,-5,0.06,0.31,6.28,Backhaul
4,0.5428002889302094,0.22818137990330378,5,0.09,0.36,8.4,Linehaul
5,0.2402763294204019,0.9534575270642959,-10,0.04,0.66,5.0,Backhaul
6,0.6458104321650848,0.017857153491414923,-1,0.04,0.49,7.1,Backhaul
7,0.9961258185466165,0.7351945345387835,10,0.06,0.92,3.21,Linehaul
8,0.7219424608658251,0.41049650828268813,-8,0.02,0.5,8.41,Backhaul
9,0.20378019283949034,0.9621025290385223,-6,0.09,0.59,6.06,Backhaul
10,0.2244710280387413,0.04778276531899028,3,0.04,0.13,6.83,Linehaul
11,0.8838471675590724,0.8891320636845056,-5,0.05,1.13,5.95,Backhaul
12,0.9627818994290742,0.6111746376783252,9,0.02,0.13,7.32,Linehaul
13,0.985813877230587,0.4030898969567097,8,0.02,0.39,3.57,Linehaul
14,0.15691591258096682,0.5874491300198148,9,0.04,0.21,8.43,Linehaul
15,0.3845231241115672,0.29390423105137065,-4,0.02,0.33,2.38,Backhaul
16,0.01757670756217322,0.46686010579417603,7,0.1,0.06,8.62,Linehaul
17,0.9100664286116336,0.10251991388105897,10,0.04,0.78,8.7,Linehaul
18,0.42861357555727864,0.13086642511570312,-3,0.09,0.07,3.46,Backhaul
19,0.11201011372897274,0.9288355945348583,-4,0.07,0.42,3.13,Backhaul
20,0.619275676996665,0.2709167780794438,-2,0.08,0.59,4.7,Backhaul
